#{"t_start": 1634975995.4871402, "env_id": null}
r,l,t
1.36,16,7.891592
1.2,15,11.29454800.45,9,14.93270111.36,16,21.25092310.45,9,24.864147
1.05,14,30.938074
0.36,8,34.18224
0.45,9,37.881061
0.15,5,40.163888
0.15,5,42.480134
0.45,9,46.031695
0.55,10,49.966588
0.55,10,53.94908
0.15,5,56.473113
0.91,13,61.787971
0.21,6,64.192314
0.78,12,68.614848
0.28,7,71.419493
1.2,15,77.196799
1.2,15,83.207428
0.21,6,85.412401
0.21,6,88.097306
0.45,9,91.36295300.78,12,95.812879
1.53,17,102.464321
0.45,9,105.712944
1.71,18,112.612316
0.21,6,115.361526
0.36,8,118.708352
1.9,19,126.644734
1.05,14,132.643676
0.28,7,135.723593
1.05,14,141.393933
0.28,7,144.190095
0.28,7,147.093761
0.45,9,150.700964
0.21,6,153.110455
0.36,8,156.276239
0.1,4,158.123005
0.78,12,163.200543
2.53,22,171.892767
0.45,9,175.544042
0.91,13,181.406475
0.15,5,183.810056
0.1,4,185.706851
0.36,8,189.226552
0.15,5,191.676641
0.28,7,194.659058
0.55,10,198.585101
0.91,13,204.061813
0.21,6,206.557431
1.2,15,213.041644
0.78,12,217.960441
0.45,9,221.927253
0.55,10,226.083582
0.1,4,228.091948
0.28,7,231.172471
0.28,7,234.198678
0.21,6,237.089324
0.28,7,239.98908
0.15,5,242.006176
0.28,7,244.990011
0.45,9,248.890932
0.15,5,251.256941
0.78,12,256.039136
0.55,10,260.121858
0.36,8,263.914835
0.36,8,267.140357
0.66,11,271.676873
0.15,5,274.103985
0.15,5,276.622551
1.05,14,282.487771
0.21,6,284.928039
0.21,6,287.40478
0.28,7,290.204473
0.15,5,292.56811
1.36,16,298.797885
0.21,6,301.553164
0.21,6,304.021762
0.15,5,306.055892
0.21,6,308.452867
0.15,5,310.791661
0.15,5,312.827214
389
1.2,15,300.912421
0.21,6,303.555587
1.05,14,309.487622
3
0.15,5,305.99885
0.66,11,310.648722
0.45,9,314.490631
15,5,308.083237
0.28,7,311.313924
0.15,5,313.398493
